Job ID,Estimated Duration,Actual Duration,Error,Error Percentage
0,50765,50919,154,0.30244115
1,482652,483093,441,0.09128677
2,203633,203715,82,0.040252313
3,168075,168154,79,0.046980746
4,172217,172280,63,0.036568377
5,181503,181596,93,0.051212583
6,179733,179793,60,0.033371713
7,167580,167649,69,0.041157417
8,203800,203854,54,0.026489547
9,192223,192281,58,0.030164188
10,207451,207505,54,0.02602347
11,167890,167948,58,0.0345345
12,168558,168619,61,0.036176234
13,9442,9632,190,1.9725913
