App ID,Real Duration,Estimated Duration,Error,Error Percentage,Size
app-20150724132028-0391,1137860,630090,507770,44.6,2.28
app-20150724134231-0394,937671,1352154,414483,44.2,4.84
app-20150724140110-0397,2119805,2038792,81013,3.8,7.38
app-20150724143959-0400,3318443,2694604,623839,18.8,9.93
app-20150724153856-0403,4453914,3313135,1140779,25.6,12.47
app-20150724165655-0406,3338873,3897760,558887,16.7,15.01
app-20150724175627-0409,3913650,4447744,534094,13.6,17.56
app-20150724190548-0412,4591750,4962985,371235,8.1,20.12
app-20150724202640-0415,6011664,5465543,546121,9.1,22.83
app-20150724221135-0418,5915002,5943542,28540,0.5,25.67
app-20150724235520-0421,6362825,6369413,6588,0.1,28.51
app-20150725014645-0424,7514761,6742089,772672,10.3,31.34
app-20150725035730-0427,7373761,7060379,313382,4.2,34.17
app-20150725060635-0430,8522695,7322595,1200100,14.1,37.0
app-20150725083447-0433,8532639,7527358,1005281,11.8,39.82
app-20150725110329-0436,10106212,7673504,2432708,24.1,42.65
app-20150725135856-0439,10110233,7791492,2318741,22.9,45.48
app-20150725165445-0442,10699129,7902401,2796728,26.1,48.31
